Grade,Strand,"Anchor Standard",Code,Benchmark
K,"Data and Probability","Data Sciences: Identify, formulate and investigate statistical questions by collecting data considering cultural perspectives, analyzing and interpreting data and communicating the results.",0.1.1.1,"Notice and describe patterns in data-rich situations. (MP1, MP7) ✜ # ☼ "
K,"Data and Probability","Data Sciences: Identify, formulate and investigate statistical questions by collecting data considering cultural perspectives, analyzing and interpreting data and communicating the results.",0.1.1.2,"Organize objects, draw pictures or use tally marks to represent data and communicate observations. (MP3, MP6) # μ"
K,"Spatial Reasoning","Measurement: Investigate measurement using a variety of tools, units, systems, processes and techniques in various cultures. Explain and reason with attributes, estimations and formulas to communicate measurement(s) and relationships effectively. Justify decisions and consider the reasonableness of the measurement.",0.2.3.1,"Compare objects with a measurable attribute in common, to see which object has “more of,” “less of” or the “same as” the attribute and explain the reasoning. (MP3, MP5) ✜ $ ☼"
K,"Spatial Reasoning","Measurement: Investigate measurement using a variety of tools, units, systems, processes and techniques in various cultures. Explain and reason with attributes, estimations and formulas to communicate measurement(s) and relationships effectively. Justify decisions and consider the reasonableness of the measurement.",0.2.3.2,"Describe several measurable attributes of objects such as length and weight. (MP4, MP6) ✜ ☼"
K,"Spatial Reasoning","Geometry: Analyze characteristics of geometric shapes to make mathematical arguments and justifications about geometric relationships. Use visualization and geometric modeling to compare, solve problems and communicate ideas.",0.2.4.1,"Sort objects using characteristics such as shape, size, color and thickness. (MP1, MP3) ✜ ☼"
K,"Spatial Reasoning","Geometry: Analyze characteristics of geometric shapes to make mathematical arguments and justifications about geometric relationships. Use visualization and geometric modeling to compare, solve problems and communicate ideas.",0.2.4.2,"Identify and compare two- and three-dimensional shapes such as squares, circles, triangles, rectangles, trapezoids, hexagons, cubes, cones, cylinders and spheres using informal language to describe their similarities, differences, parts and other attributes. (MP2) ✜ ☼"
K,"Spatial Reasoning","Geometry: Analyze characteristics of geometric shapes to make mathematical arguments and justifications about geometric relationships. Use visualization and geometric modeling to compare, solve problems and communicate ideas.",0.2.4.3,"Compose, decompose and name simple shapes. Recognize shapes regardless of their overall size and orientation. (MP1, MP2) μ"
K,"Spatial Reasoning","Geometry: Analyze characteristics of geometric shapes to make mathematical arguments and justifications about geometric relationships. Use visualization and geometric modeling to compare, solve problems and communicate ideas.",0.2.4.4,"Describe objects in the environment using names of shapes. Describe the relative positions of these objects using terms such as above, below, beside, in front of, behind and next to. (MP1, MP6) ✜ ☼ "
K,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",0.3.5.1,"Recognize that a number can be used to represent how many objects are in a set or to represent the position of an object in a sequence. When counting objects, say the number names in the standard order, pairing each object with one and only one number name and each number with one and only one object. Understand that the last number said tells the number of objects counted. Understand that each successive number refers to a quantity that is one more. Name the position of an object in a sequence (ordinal count). (MP1, MP6) ✜ ☼"
K,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",0.3.5.2,"Count collections of objects up to 31 by grouping in 10s using ten-frames, cups or other tools. (MP6, MP7) ✜ $ ☼"
K,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",0.3.5.3,"Read, write, compare, order and represent whole numbers from 0 to at least 31 (with 0 representing the count of no objects) to answer the question “how many?”. Representations may include numerals, pictures, real objects, picture graphs, spoken words and manipulatives, such as connecting cubes. The numbers from 11 to 19 are composed of a 10 and one, two, three, four, five, six, seven, eight or nine ones. (MP4, MP8) ✜"
K,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",0.3.5.4,"Count forward, with and without objects, to at least 31. Count backward from 20. (MP6) ☼"
K,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",0.3.5.5,"Find a number that is 1 more or 1 less than a given number. (MP7, MP8)"
K,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",0.3.5.6,"Solve and represent a variety of addition and subtraction contextual situation types using objects, drawings, mental images or equations within 10. (MP4, MP5) $ μ"
K,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",0.3.5.7,"Compose and decompose numbers less than or equal to 10 into pairs in more than one way with objects and pictures. Record each decomposition with a drawing or equation. (MP7)"
K,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",0.3.5.8,"Fluently add and subtract within 5. (MP2)"
K,"Patterns and Relationships","Equivalence and Relational Thinking: Use concepts and properties of equivalence and relational thinking to represent and compare numerical expressions, proportional relationships, algebraic expressions and equations.",0.3.6.1,"Identify whether the number of objects in one group is greater than, less than or equal to the number of objects in another group (by using matching, counting strategies and a number line). (MP2, MP5) ☼"
K,"Patterns and Relationships","Equivalence and Relational Thinking: Use concepts and properties of equivalence and relational thinking to represent and compare numerical expressions, proportional relationships, algebraic expressions and equations.",0.3.6.2,"Recognize that the equal sign (=) is a comparison symbol of two math expressions of equal value number. (MP6)"
K,"Patterns and Relationships","Patterns and Relationships: Represent and connect mathematical patterns and relationships using verbal descriptions, generalizations, tables and graphs. Use representations to generate questions, make predictions and solve mathematical problems.",0.3.7.1,"Recognize, create, complete and extend simple patterns using shape, color, size, number, sounds and movements. Patterns may be repeating, growing or shrinking. (MP1, MP7) ✜ # ☼"
K,"Patterns and Relationships","Patterns and Relationships: Represent and connect mathematical patterns and relationships using verbal descriptions, generalizations, tables and graphs. Use representations to generate questions, make predictions and solve mathematical problems.",0.3.7.2,"Recognize patterns in counting. Skip count by 10s starting at zero up to 100. (MP7) ✜ $ ☼"
1,"Data and Probability","Data Sciences: Identify, formulate and investigate statistical questions by collecting data, considering cultural perspectives, analyzing and interpreting data and communicating the results.",1.1.1.1,"Notice and describe patterns in data-rich situations and create statistical investigative questions with teacher guidance. (MP6, MP7) ☼ ✜"
1,"Data and Probability","Data Sciences: Identify, formulate and investigate statistical questions by collecting data, considering cultural perspectives, analyzing and interpreting data and communicating the results.",1.1.1.2,"Collect and use data to consider and decide what data will answer a question. Represent the data as a drawing, tally marks and frequency bar graph and digitally communicate observations. (MP1, MP3) # μ"
1,"Data and Probability","Chance and Uncertainty: Apply and explain the concepts of probability to interpret data, generate questions, predict and make informed decisions to solve problems and communicate ideas.",1.1.2.1,"Describe outcomes of events as impossible, possible or certain. (MP1, MP6) ☼"
1,"Spatial Reasoning","Measurement: Investigate measurement using a variety of tools, units, systems, processes and techniques in various cultures. Explain and reason with attributes, estimations and formulas to communicate measurement(s) and relationships effectively. Justify decisions and consider the reasonableness of the measurement.",1.2.3.1,"Order three objects by length. Compare the lengths of two objects indirectly by using a third object. (MP2, MP5) ✜ ☼"
1,"Spatial Reasoning","Measurement: Investigate measurement using a variety of tools, units, systems, processes and techniques in various cultures. Explain and reason with attributes, estimations and formulas to communicate measurement(s) and relationships effectively. Justify decisions and consider the reasonableness of the measurement.",1.2.3.2,"Measure the length of an object in terms of non-standard units. (MP5) ✜ ☼ "
1,"Spatial Reasoning","Measurement: Investigate measurement using a variety of tools, units, systems, processes and techniques in various cultures. Explain and reason with attributes, estimations and formulas to communicate measurement(s) and relationships effectively. Justify decisions and consider the reasonableness of the measurement.",1.2.3.3,"Identify pennies, nickels and dimes. Find the value of a group of these coins, up to one dollar. (MP1, MP7) $"
1,"Spatial Reasoning","Geometry: Analyze characteristics of geometric shapes to make mathematical arguments and justifications about geometric relationships. Use visualization and geometric modeling to compare, solve problems and communicate ideas.",1.2.4.1,"Describe attributes of two- and three-dimensional objects, such as triangles, squares, rectangles, circles, rectangular prisms, cylinders, cones and spheres. (MP7, MP8) ✜ ☼"
1,"Spatial Reasoning","Geometry: Analyze characteristics of geometric shapes to make mathematical arguments and justifications about geometric relationships. Use visualization and geometric modeling to compare, solve problems and communicate ideas.",1.2.4.2,"Compose two-dimensional shapes (rectangles, squares, trapezoids, triangles, half-circles and quarter-circles) to create a composite shape. Decompose composite shapes into triangles, rectangles, squares and sectors. (MP3, MP7) μ"
1,"Spatial Reasoning","Geometry: Analyze characteristics of geometric shapes to make mathematical arguments and justifications about geometric relationships. Use visualization and geometric modeling to compare, solve problems and communicate ideas.",1.2.4.3,"Describe objects in the environment using names of shapes and describe the relative positions of these objects using left and right. (MP6) ☼"
1,"Spatial Reasoning","Geometry: Analyze characteristics of geometric shapes to make mathematical arguments and justifications about geometric relationships. Use visualization and geometric modeling to compare, solve problems and communicate ideas.",1.2.4.4,"Identify shapes regardless of their orientations. (MP1, MP6) ☼"
1,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",1.3.5.1,"Count collections of objects up to 120 using groups of 5s or 10s. (MP1, MP5) ✜ $ "
1,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",1.3.5.2,"Read, write, compare, order and represent whole numbers from 0 to 120. Representations may include numerals, expanded notation, addition and subtraction, pictures, tally marks, number lines and manipulatives such as bundles of sticks, ten frames and base 10 blocks. The numbers 10, 20, 30, 40, 50, 60, 70, 80 and 90 refer to one, two, three, four, five, six, seven, eight or nine groups of 10s. (MP7, MP8) ✜ $ "
1,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",1.3.5.3,"Count, with or without objects, forward and backward from any given number up to 120.  (MP7) $ ☼"
